"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","note_classif.label","note_indicator.label","note_source.label"
"Benin","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.27,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Benin","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",1.397,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Burkina Faso","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.372,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Burkina Faso","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-1.143,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Bangladesh","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.445,,"Frequency: Monthly","Population coverage: Government official"
"Bangladesh","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",0.214,"Nonstandard COICOP classification: Food, beverages and tobacco","Frequency: Monthly","Population coverage: Government official"
"Bulgaria","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.001,,"Frequency: Monthly",
"Bulgaria","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-0.694,,"Frequency: Monthly",
"Bahrain","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.245,,"Frequency: Monthly",
"Bahrain","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",0.134,"Nonstandard COICOP classification: Food, beverages and tobacco","Frequency: Monthly",
