"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Bahamas","LFS - Labour Force & Household Survey","Average monthly earnings of employees by sex and currency","Male","Currency: Local currency","2023",5732.107,,,"Currency: BHS - Bahamian dollar (BSD)","Repository: ILO-STATISTICS - Micro data processing"
"Bahamas","LFS - Labour Force & Household Survey","Average monthly earnings of employees by sex and currency","Male","Currency: 2021 PPP $","2023",5051.388,,,"Currency: BHS - Bahamian dollar (BSD)","Repository: ILO-STATISTICS - Micro data processing"
"Bahamas","LFS - Labour Force & Household Survey","Average monthly earnings of employees by sex and currency","Male","Currency: U.S. dollars","2023",5732.107,,,"Currency: BHS - Bahamian dollar (BSD)","Repository: ILO-STATISTICS - Micro data processing"
"Bahamas","LFS - Labour Force & Household Survey","Average monthly earnings of employees by sex and currency","Female","Currency: Local currency","2023",5822.117,,,"Currency: BHS - Bahamian dollar (BSD)","Repository: ILO-STATISTICS - Micro data processing"
"Bahamas","LFS - Labour Force & Household Survey","Average monthly earnings of employees by sex and currency","Female","Currency: 2021 PPP $","2023",5130.709,,,"Currency: BHS - Bahamian dollar (BSD)","Repository: ILO-STATISTICS - Micro data processing"
"Bahamas","LFS - Labour Force & Household Survey","Average monthly earnings of employees by sex and currency","Female","Currency: U.S. dollars","2023",5822.117,,,"Currency: BHS - Bahamian dollar (BSD)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Total","Currency: Local currency","2024",1671.398,,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Total","Currency: 2021 PPP $","2024",2269.767,,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Total","Currency: U.S. dollars","2024",924.669,,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Male","Currency: Local currency","2024",1730.498,,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
