"ref_area.label","source.label","indicator.label","sex.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Burkina Faso","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2024",51.2,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2024",52.65,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2024",48.24,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2024",50.93,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2024",51.59,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2024",47.47,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Other","2024",58.25,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2024",38.9,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2024",39.02,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2024",38.76,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bahamas","LFS - Labour Force & Household Survey","Mean weekly hours actually worked per employee by sex","Total","2019",38.09,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bahamas","LFS - Labour Force & Household Survey","Mean weekly hours actually worked per employee by sex","Male","2019",39.21,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bahamas","LFS - Labour Force & Household Survey","Mean weekly hours actually worked per employee by sex","Female","2019",36.99,,,"Repository: ILO-STATISTICS - Micro data processing"
