"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Male","Occupation (ISCO-08): 3. Technicians and associate professionals","2010",4314,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Male","Occupation (ISCO-08): 4. Clerical support workers","2010",2922,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Male","Occupation (ISCO-08): 5. Service and sales workers","2010",2471,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Male","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","2010",2182,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Male","Occupation (ISCO-08): 7. Craft and related trades workers","2010",2524,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Male","Occupation (ISCO-08): 8. Plant and machine operators, and assemblers","2010",2332,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Male","Occupation (ISCO-08): 9. Elementary occupations","2010",1882,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Male","Occupation (ISCO-08): 0. Armed forces occupations","2010",5533,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Male","Occupation (ISCO-08): X. Not elsewhere classified","2010",2091,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Female","Occupation (ISCO-08): Total","2010",2713,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Female","Occupation (ISCO-08): 1. Managers","2010",5448,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Female","Occupation (ISCO-08): 2. Professionals","2010",4714,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Female","Occupation (ISCO-08): 3. Technicians and associate professionals","2010",3516,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Female","Occupation (ISCO-08): 4. Clerical support workers","2010",2743,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Female","Occupation (ISCO-08): 5. Service and sales workers","2010",1890,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Female","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","2010",2483,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Female","Occupation (ISCO-08): 7. Craft and related trades workers","2010",1775,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Female","Occupation (ISCO-08): 8. Plant and machine operators, and assemblers","2010",1924,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
