"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Angola","LFS - Employment Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): Total","2024",17.727,,,"Currency: AGO - Kwanza (AOA)","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): 1. Managers","2024",-5.747,,,"Currency: AGO - Kwanza (AOA)","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): 2. Professionals","2024",21.417,,,"Currency: AGO - Kwanza (AOA)","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): 3. Technicians and associate professionals","2024",17.999,,,"Currency: AGO - Kwanza (AOA)","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): 4. Clerical support workers","2024",-60.973,,,"Currency: AGO - Kwanza (AOA)","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): 5. Service and sales workers","2024",27.891,,,"Currency: AGO - Kwanza (AOA)","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","2024",17.013,,,"Currency: AGO - Kwanza (AOA)","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): 7. Craft and related trades workers","2024",43.209,,,"Currency: AGO - Kwanza (AOA)","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): 8. Plant and machine operators, and assemblers","2024",4.909,,,"Currency: AGO - Kwanza (AOA)","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): 9. Elementary occupations","2024",26.446,,,"Currency: AGO - Kwanza (AOA)","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): 0. Armed forces occupations","2024",-21.685,,,"Currency: AGO - Kwanza (AOA)","Repository: ILO-STATISTICS - Micro data processing"
"Argentina","LFS - Permanent Household Survey, Urban","Gender wage gap by occupation (%)","Occupation (Skill level): Total","2024",5.941,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Gender wage gap by occupation (%)","Occupation (Skill level): Skill levels 3 and 4 ~ high","2024",14.515,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Gender wage gap by occupation (%)","Occupation (Skill level): Skill level 2 ~ medium","2024",6.802,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Gender wage gap by occupation (%)","Occupation (Skill level): Skill level 1 ~ low","2024",-6.538,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Gender wage gap by occupation (%)","Occupation (Skill level): Not elsewhere classified","2024",-5.7,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Gender wage gap by occupation (%)","Occupation (ISCO-08): Total","2024",5.941,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Gender wage gap by occupation (%)","Occupation (ISCO-08): 1. Managers","2024",18.244,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Gender wage gap by occupation (%)","Occupation (ISCO-08): 2. Professionals","2024",18.014,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Gender wage gap by occupation (%)","Occupation (ISCO-08): 3. Technicians and associate professionals","2024",13.954,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Gender wage gap by occupation (%)","Occupation (ISCO-08): 4. Clerical support workers","2024",14.892,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Gender wage gap by occupation (%)","Occupation (ISCO-08): 5. Service and sales workers","2024",16.616,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Gender wage gap by occupation (%)","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","2024",47.732,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Gender wage gap by occupation (%)","Occupation (ISCO-08): 7. Craft and related trades workers","2024",7.163,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
