"ref_area.label","source.label","indicator.label","time","obs_value","note_indicator.label","note_source.label"
"Côte d'Ivoire","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",75000,"Type of minimum wage: Rate of the SMIG when SMIG/SMAG system | Currency: CIV - West African CFA franc (XOF)",
"Cameroon","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",43969,"Type of minimum wage: Singular national minimum wage | Currency: CMR - Central African CFA franc (XAF)",
"Congo, Democratic Republic of the","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",183950,"Type of minimum wage: Singular national minimum wage | Currency: COD - Congolese franc (CDF) | ILO calculation: Daily figure multiplied by 6 days and 4.33 weeks",
"Congo","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage (local currency)","2024",120000,"Type of minimum wage: Singular national minimum wage | Currency: COG - Central African CFA franc (XAF)",
"Cook Islands","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage (local currency)","2024",1974,"Type of minimum wage: Singular national minimum wage | Currency: COK - New Zealand dollar (NZD) | ILO calculation: Hourly figure multiplied by 48 hours and 4.33 weeks",
"Colombia","ADM - Labour Relations Records","Statutory nominal gross monthly minimum wage (local currency)","2024",1300000,"Type of minimum wage: Singular national minimum wage | Currency: COL - Colombian peso (COP)",
"Comoros","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",55000,"Type of minimum wage: Singular national minimum wage | Currency: COM - Comorian franc (KMF)",
"Cabo Verde","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage (local currency)","2024",15000,"Type of minimum wage: Singular national minimum wage | Currency: CPV - Escudo (CVE)",
"Costa Rica","ADM - Minimum wage decrees","Statutory nominal gross monthly minimum wage (local currency)","2024",358609,"Type of minimum wage: Occupational (unskilled workers) | Currency: CRI - Colon (CRC)",
"Cuba","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",2100,"Type of minimum wage: Singular national minimum wage | Central tendency measure: Lowest occupational minimum wage | Working time arrangement coverage: Full-time equivalents | Currency: CUB - Cuban peso (CUP)",
"Cyprus","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",1000,"Currency: CYP - Euro (EUR)","Repository: Eurostat | Data reference period: July"
"Czechia","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",20800,"Type of minimum wage: Singular national minimum wage | Currency: CZE - Koruna (CZK)","Repository: Eurostat | Data reference period: July"
"Germany","ADM - Minimum Wage Act","Statutory nominal gross monthly minimum wage (local currency)","2025",2161,"Type of minimum wage: Singular national minimum wage | Currency: DEU - Euro (EUR)","Repository: Eurostat | Data reference period: July"
"Dominica","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage (local currency)","2024",1560,"Type of minimum wage: Singular national minimum wage | Currency: DMA - East Caribbean dollar (XCD) | ILO calculation: Hourly figure multiplied by 48 hours and 4.33 weeks",
"Dominican Republic","ADM-LIR - Administrative Records of the Ministry of Labour","Statutory nominal gross monthly minimum wage (local currency)","2024",19450,"Type of minimum wage: Average of minimum wages based on establishment size | Central tendency measure: Mean | Currency: DOM - Dominican peso (DOP)","Data reference period: End of the year | Institutional sector coverage: Private sector only"
"Algeria","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",20000,"Type of minimum wage: Singular national minimum wage | Currency: DZA - Algerian dinar (DZD)",
"Ecuador","ADM - Administrative records of the Ministry of Labour","Statutory nominal gross monthly minimum wage (local currency)","2024",470,"Type of minimum wage: Singular national minimum wage | Time unit: Per year | Currency: ECU - United States dollar (USD)","Institutional sector coverage: Private sector only | Economic activity coverage: Excluding public administration"
"Egypt","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",6000,"Type of minimum wage: Singular national minimum wage | Currency: EGY - Egyptian pound (EGP)",
