"ref_area.label","source.label","indicator.label","time","obs_value","note_indicator.label","note_source.label"
"Palestine (State of)","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2013",1450,"Currency: PSE - New Shekel (ILS)","Repository: Annual estimates for 2025 are 11-month averages that exclude October. Data for October 2025 were not collected due to the federal government shutdown | Institutional sector coverage: Private sector only"
"Qatar","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage (local currency)","2024",1000,"Type of minimum wage: Singular national minimum wage | Currency: QAT - Qatari riyal (QAR)",
"Romania","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",4050,"Type of minimum wage: Singular national minimum wage | Currency: ROU - Romanian leu (RON)","Repository: Eurostat | Data reference period: July"
"Russian Federation","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",19242,"Type of minimum wage: National floor | Currency: RUS - Russian ruble (RUB)",
"Rwanda","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",2600,"Type of minimum wage: Singular national minimum wage | Currency: RWA - Rwandan franc (RWF) | ILO calculation: Daily figure multiplied by 6 days and 4.33 weeks",
"Saudi Arabia","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",4000,"Currency: SAU - Saudi riyal (SAR)","Repository: Annual estimates for 2025 are 11-month averages that exclude October. Data for October 2025 were not collected due to the federal government shutdown | Population coverage: Nationals only"
"Sudan","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",425,"Currency: SDN - Sudanese pound (SDG)","Repository: Annual estimates for 2025 are 11-month averages that exclude October. Data for October 2025 were not collected due to the federal government shutdown"
"Senegal","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",64175,"Type of minimum wage: Rate of the SMIG when SMIG/SMAG system | Currency: SEN - West African CFA franc (XOF)",
"Solomon Islands","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",1664,"Type of minimum wage: Rate of the SMIG when SMIG/SMAG system | Currency: SLB - Solomon Islands dollar (SBD) | ILO calculation: Hourly figure multiplied by 48 hours and 4.33 weeks",
"Sierra Leone","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",800,"Type of minimum wage: Singular national minimum wage | Currency: SLE - Leone (SLE)",
"El Salvador","ILO - SIALC Estimates","Statutory nominal gross monthly minimum wage (local currency)","2024",365,"Type of minimum wage: Sectoral (manufacturing) | Currency: SLV - United States dollar (USD)",
"San Marino","OE - Estimates of the Office of economic planning, data processing and statistics","Statutory nominal gross monthly minimum wage (local currency)","2024",1728.38,"Type of minimum wage: Sectoral | Currency: SMR - Euro (EUR)","Data reference period: End of the year"
"Serbia","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",72396,"Type of minimum wage: Singular national minimum wage | Currency: SRB - Serbian dinar (RSD)","Repository: Eurostat | Data reference period: July"
"Suriname","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage (local currency)","2024",4160,"Type of minimum wage: National floor | Currency: SUR - Surinamese dollar (SRD) | ILO calculation: Hourly figure multiplied by 48 hours and 4.33 weeks",
"Slovakia","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",816,"Type of minimum wage: Singular national minimum wage | Currency: SVK - Euro (EUR)","Repository: Eurostat | Data reference period: July"
"Slovenia","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",1278,"Type of minimum wage: Singular national minimum wage | Currency: SVN - Euro (EUR)","Repository: Eurostat | Data reference period: July"
"Eswatini","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",600,"Type of minimum wage: Occupational (unskilled workers) | Currency: SWZ - Lilangeni (SZL)",
"Seychelles","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage (local currency)","2024",6628.364,"Currency: SYC - Seychellois rupee (SCR) | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks",
"Syrian Arab Republic","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",14760,"Type of minimum wage: Singular national minimum wage | Currency: SYR - Syrian pound (SYP)",
"Chad","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",60000,"Type of minimum wage: Rate of the SMIG when SMIG/SMAG system | Currency: TCD - Central African CFA franc (XAF)",
"Togo","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",52500,"Type of minimum wage: Rate of the SMIG when SMIG/SMAG system | Currency: TGO - West African CFA franc (XOF)",
"Thailand","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",8963,"Central tendency measure: Median | Currency: THA - Baht (THB) | ILO calculation: Daily figure multiplied by 6 days and 4.33 weeks",
"Tajikistan","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",800,"Type of minimum wage: Singular national minimum wage | Currency: TJK - Somoni (TJS)",
"Turkmenistan","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage (local currency)","2024",1280,"Type of minimum wage: Singular national minimum wage | Currency: TKM - Turkmen manat (TMT)",
"Timor-Leste","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",115,"Type of minimum wage: Singular national minimum wage | Currency: TLS - United States dollar (USD)",
"Trinidad and Tobago","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",3550,"Type of minimum wage: Singular national minimum wage | Currency: TTO - Trinidad and Tobago dollar (TTD) | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks",
"Tunisia","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",491.504,"Type of minimum wage: Rate of the SMIG when SMIG/SMAG system | Currency: TUN - Tunisian dinar (TND) | ILO calculation: Hourly figure multiplied by 48 hours and 4.33 weeks",
"Türkiye","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",26006,"Type of minimum wage: Singular national minimum wage | Currency: TUR - Turkish lira (TRY)","Repository: Eurostat | Data reference period: July"
"Taiwan, China","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",27400,"Currency: TWN - New Taiwan dollar (TWD)","Data reference period: January | Reference group coverage: Industrial, agricultural, and institution-based employees"
"Tanzania, United Republic of","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",150000,"Type of minimum wage: Sectoral (manufacturing) | Currency: TZA - Tanzanian shilling (TZS)",
"Uganda","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",130000,"Type of minimum wage: Singular national minimum wage | Currency: UGA - Ugandan shilling (UGX)",
"Ukraine","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",8000,"Currency: UKR - Hryvnia (UAH)","Repository: Eurostat | Data reference period: July"
"Uruguay","ADM - Administrative records and related sources","Statutory nominal gross monthly minimum wage (local currency)","2024",22268,"Type of minimum wage: Singular national minimum wage | Time unit: Per year | Currency: URY - Uruguayan peso (UYU)",
"United States of America","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",1257,"Type of minimum wage: Singular national minimum wage | Currency: USA - United States dollar (USD)","Repository: Eurostat | Data reference period: July"
"Uzbekistan","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",1050000,"Type of minimum wage: Singular national minimum wage | Currency: UZB - Uzbekistani som (UZS)",
"Saint Vincent and the Grenadines","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage (local currency)","2024",1310,"Type of minimum wage: Sectoral (manufacturing) | Currency: VCT - East Caribbean dollar (XCD) | ILO calculation: Daily figure multiplied by 6 days and 4.33 weeks",
"Venezuela (Bolivarian Republic of)","OE - Official Estimates","Statutory nominal gross monthly minimum wage (local currency)","2024",130,"Type of minimum wage: Singular national minimum wage | Currency: VEN - Bolívar soberano (VES)",
"Viet Nam","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",4960000,"Type of minimum wage: Regional | Central tendency measure: Median | Currency: VNM - Dông (VND)","Geographical coverage: Main cities or metropolitan areas"
"Vanuatu","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage (local currency)","2024",57165,"Type of minimum wage: Singular national minimum wage | Currency: VUT - Vatu (VUV) | ILO calculation: Hourly figure multiplied by 48 hours and 4.33 weeks",
"Samoa","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage (local currency)","2024",832,"Type of minimum wage: Rate of the SMIG when SMIG/SMAG system | Currency: WSM - Tala (WST) | ILO calculation: Hourly figure multiplied by 48 hours and 4.33 weeks",
"South Africa","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",4776.85,"Type of minimum wage: Occupational | Currency: ZAF - Rand (ZAR) | ILO calculation: Daily figure multiplied by 6 days and 4.33 weeks",
"Zambia","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",1300,"Type of minimum wage: Occupational (unskilled workers) | Currency: ZMB - Zambian kwacha (ZMW)",
