"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","note_classif.label","note_indicator.label","note_source.label"
"Benin","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.714,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Benin","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-3.411,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Burkina Faso","CPS - Consumer Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.186,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Burkina Faso","CPS - Consumer Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-2.005,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Bangladesh","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",6.108,,"Frequency: Monthly","Population coverage: Government official"
"Bangladesh","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",5.862,"Nonstandard COICOP classification: Food, beverages and tobacco","Frequency: Monthly","Population coverage: Government official"
"Bulgaria","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.875,,"Frequency: Monthly",
"Bulgaria","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-0.913,,"Frequency: Monthly",
"Bahrain","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",2.502,,"Frequency: Monthly",
"Bahrain","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",2.619,"Nonstandard COICOP classification: Food, beverages and tobacco","Frequency: Monthly",
"Bahamas","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.244,,"Frequency: Monthly",
