"ref_area.label","source.label","indicator.label","sex.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Bangladesh","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Other","2024",0.179,"Unreliable","Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bahamas","LFS - Labour Force & Household Survey","Gini index of hourly earnings of employees by sex","Total","2019",0.595,,"Currency: BHS - Bahamian dollar (BSD)","Repository: ILO-STATISTICS - Micro data processing"
"Bahamas","LFS - Labour Force & Household Survey","Gini index of hourly earnings of employees by sex","Male","2019",0.562,,"Currency: BHS - Bahamian dollar (BSD)","Repository: ILO-STATISTICS - Micro data processing"
"Bahamas","LFS - Labour Force & Household Survey","Gini index of hourly earnings of employees by sex","Female","2019",0.624,,"Currency: BHS - Bahamian dollar (BSD)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Total","2024",0.232,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Male","2024",0.217,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Female","2024",0.252,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Belize","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Total","2019",0.367,,"Currency: BLZ - Belize dollar (BZD)","Repository: ILO-STATISTICS - Micro data processing"
"Belize","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Male","2019",0.359,,"Currency: BLZ - Belize dollar (BZD)","Repository: ILO-STATISTICS - Micro data processing"
"Belize","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Female","2019",0.376,,"Currency: BLZ - Belize dollar (BZD)","Repository: ILO-STATISTICS - Micro data processing"
"Bolivia (Plurinational State of)","LFS - Continuous Employment Survey","Gini index of hourly earnings of employees by sex","Total","2024",0.433,,"Currency: BOL - Bolivian (BOB)","Repository: ILO-STATISTICS - Micro data processing"
"Bolivia (Plurinational State of)","LFS - Continuous Employment Survey","Gini index of hourly earnings of employees by sex","Male","2024",0.418,,"Currency: BOL - Bolivian (BOB)","Repository: ILO-STATISTICS - Micro data processing"
"Bolivia (Plurinational State of)","LFS - Continuous Employment Survey","Gini index of hourly earnings of employees by sex","Female","2024",0.451,,"Currency: BOL - Bolivian (BOB)","Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","Gini index of hourly earnings of employees by sex","Total","2025",0.458,,"Currency: BRA - Real (BRL)","Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","Gini index of hourly earnings of employees by sex","Male","2025",0.464,,"Currency: BRA - Real (BRL)","Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","Gini index of hourly earnings of employees by sex","Female","2025",0.449,,"Currency: BRA - Real (BRL)","Repository: ILO-STATISTICS - Micro data processing"
"Brunei Darussalam","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Total","2014",0.538,"Break in series","Currency: BRN - Brunei dollar (BND) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Brunei Darussalam","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Male","2014",0.533,"Break in series","Currency: BRN - Brunei dollar (BND) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Brunei Darussalam","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Female","2014",0.542,"Break in series","Currency: BRN - Brunei dollar (BND) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bhutan","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Total","2022",0.351,,"Currency: BTN - Ngultrum (BTN)","Repository: ILO-STATISTICS - Micro data processing"
"Bhutan","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Male","2022",0.339,,"Currency: BTN - Ngultrum (BTN)","Repository: ILO-STATISTICS - Micro data processing"
"Bhutan","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Female","2022",0.38,,"Currency: BTN - Ngultrum (BTN)","Repository: ILO-STATISTICS - Micro data processing"
"Botswana","HS - Multi-Topic Household Survey","Gini index of hourly earnings of employees by sex","Total","2024",0.636,,"Currency: BWA - Pula (BWP)","Repository: ILO-STATISTICS - Micro data processing"
"Botswana","HS - Multi-Topic Household Survey","Gini index of hourly earnings of employees by sex","Male","2024",0.639,,"Currency: BWA - Pula (BWP)","Repository: ILO-STATISTICS - Micro data processing"
"Botswana","HS - Multi-Topic Household Survey","Gini index of hourly earnings of employees by sex","Female","2024",0.632,,"Currency: BWA - Pula (BWP)","Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Total","2025",0.329,,"Currency: CAN - Canadian Dollar (CAD)","Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Male","2025",0.334,,"Currency: CAN - Canadian Dollar (CAD)","Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Female","2025",0.32,,"Currency: CAN - Canadian Dollar (CAD)","Repository: ILO-STATISTICS - Micro data processing"
"Switzerland","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Total","2024",0.351,,"Currency: CHE - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing"
"Switzerland","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Male","2024",0.356,,"Currency: CHE - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing"
"Switzerland","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Female","2024",0.339,,"Currency: CHE - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing"
"Chile","HIES - Supplemental Income Survey","Gini index of hourly earnings of employees by sex","Total","2024",0.415,,"Currency: CHL - Chilean peso (CLP)","Repository: ILO-STATISTICS - Micro data processing"
"Chile","HIES - Supplemental Income Survey","Gini index of hourly earnings of employees by sex","Male","2024",0.429,,"Currency: CHL - Chilean peso (CLP)","Repository: ILO-STATISTICS - Micro data processing"
"Chile","HIES - Supplemental Income Survey","Gini index of hourly earnings of employees by sex","Female","2024",0.389,,"Currency: CHL - Chilean peso (CLP)","Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Gini index of hourly earnings of employees by sex","Total","2019",0.566,,"Currency: CIV - West African CFA franc (XOF)","Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Gini index of hourly earnings of employees by sex","Male","2019",0.567,,"Currency: CIV - West African CFA franc (XOF)","Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Gini index of hourly earnings of employees by sex","Female","2019",0.546,,"Currency: CIV - West African CFA franc (XOF)","Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HS - Core Welfare Indicators Questionnaire","Gini index of hourly earnings of employees by sex","Total","2016",0.729,,"Currency: COD - Congolese franc (CDF)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Congo, Democratic Republic of the","HS - Core Welfare Indicators Questionnaire","Gini index of hourly earnings of employees by sex","Male","2016",0.709,,"Currency: COD - Congolese franc (CDF)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Congo, Democratic Republic of the","HS - Core Welfare Indicators Questionnaire","Gini index of hourly earnings of employees by sex","Female","2016",0.786,,"Currency: COD - Congolese franc (CDF)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Congo","LFS - Employment Survey","Gini index of hourly earnings of employees by sex","Total","2009",0.486,"Break in series","Currency: COG - Central African CFA franc (XAF) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Urban areas only"
"Congo","LFS - Employment Survey","Gini index of hourly earnings of employees by sex","Male","2009",0.492,"Break in series","Currency: COG - Central African CFA franc (XAF) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Urban areas only"
"Congo","LFS - Employment Survey","Gini index of hourly earnings of employees by sex","Female","2009",0.48,"Break in series","Currency: COG - Central African CFA franc (XAF) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Urban areas only"
"Cook Islands","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Total","2023",0.69,,"Currency: COK - New Zealand dollar (NZD)","Repository: ILO-STATISTICS - Micro data processing"
"Cook Islands","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Male","2023",0.685,,"Currency: COK - New Zealand dollar (NZD)","Repository: ILO-STATISTICS - Micro data processing"
"Cook Islands","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Female","2023",0.691,,"Currency: COK - New Zealand dollar (NZD)","Repository: ILO-STATISTICS - Micro data processing"
"Colombia","LFS - Integrated Household Survey","Gini index of hourly earnings of employees by sex","Total","2025",0.356,,"Currency: COL - Colombian peso (COP)","Repository: ILO-STATISTICS - Micro data processing"
"Colombia","LFS - Integrated Household Survey","Gini index of hourly earnings of employees by sex","Male","2025",0.346,,"Currency: COL - Colombian peso (COP)","Repository: ILO-STATISTICS - Micro data processing"
"Colombia","LFS - Integrated Household Survey","Gini index of hourly earnings of employees by sex","Female","2025",0.368,,"Currency: COL - Colombian peso (COP)","Repository: ILO-STATISTICS - Micro data processing"
"Comoros","LFS - National Survey on Employment and the Informal Sector","Gini index of hourly earnings of employees by sex","Total","2021",0.628,,"Currency: COM - Comorian franc (KMF)","Repository: ILO-STATISTICS - Micro data processing"
"Comoros","LFS - National Survey on Employment and the Informal Sector","Gini index of hourly earnings of employees by sex","Male","2021",0.614,,"Currency: COM - Comorian franc (KMF)","Repository: ILO-STATISTICS - Micro data processing"
