"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","note_indicator.label","note_source.label"
"Benin","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",52000,"Type of minimum wage: Singular national minimum wage | Currency: BEN - West African CFA franc (XOF)",
"Benin","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",260.94,"Type of minimum wage: Singular national minimum wage | Currency: BEN - West African CFA franc (XOF)",
"Benin","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",85.76,"Type of minimum wage: Singular national minimum wage | Currency: BEN - West African CFA franc (XOF)",
"Burkina Faso","ADM - Administrative records and related sources","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",45000,"Type of minimum wage: Rate of the SMIG when SMIG/SMAG system | Currency: BFA - West African CFA franc (XOF)","Economic activity coverage: Excluding agriculture"
"Burkina Faso","ADM - Administrative records and related sources","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",225.578,"Type of minimum wage: Rate of the SMIG when SMIG/SMAG system | Currency: BFA - West African CFA franc (XOF)","Economic activity coverage: Excluding agriculture"
"Burkina Faso","ADM - Administrative records and related sources","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",74.215,"Type of minimum wage: Rate of the SMIG when SMIG/SMAG system | Currency: BFA - West African CFA franc (XOF)","Economic activity coverage: Excluding agriculture"
"Bangladesh","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",12500,"Type of minimum wage: Singular national minimum wage | Currency: BGD - Taka (BDT)",
"Bangladesh","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",378.896,"Type of minimum wage: Singular national minimum wage | Currency: BGD - Taka (BDT)",
"Bangladesh","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",108.128,"Type of minimum wage: Singular national minimum wage | Currency: BGD - Taka (BDT)",
"Bulgaria","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2025",551,"Type of minimum wage: Singular national minimum wage | Currency: BGR - Lev (BGN)","Repository: Eurostat | Data reference period: July"
"Bahrain","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",300,"Currency: BHR - Bahraini dinar (BHD)","Repository: Annual estimates for 2025 are 11-month averages that exclude October. Data for October 2025 were not collected due to the federal government shutdown | Institutional sector coverage: Public sector only"
"Bahrain","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",1590.067,"Currency: BHR - Bahraini dinar (BHD)","Repository: Annual estimates for 2025 are 11-month averages that exclude October. Data for October 2025 were not collected due to the federal government shutdown | Institutional sector coverage: Public sector only"
"Bahrain","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",797.872,"Currency: BHR - Bahraini dinar (BHD)","Repository: Annual estimates for 2025 are 11-month averages that exclude October. Data for October 2025 were not collected due to the federal government shutdown | Institutional sector coverage: Public sector only"
"Bahamas","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",1125.8,"Type of minimum wage: Singular national minimum wage | Currency: BHS - Bahamian dollar (BSD) | ILO calculation: Weekly figure multiplied by 4.33 weeks",
"Bahamas","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",1017.206,"Type of minimum wage: Singular national minimum wage | Currency: BHS - Bahamian dollar (BSD) | ILO calculation: Weekly figure multiplied by 4.33 weeks",
"Bahamas","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",1125.8,"Type of minimum wage: Singular national minimum wage | Currency: BHS - Bahamian dollar (BSD) | ILO calculation: Weekly figure multiplied by 4.33 weeks",
"Bosnia and Herzegovina","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",626,"Type of minimum wage: Singular national minimum wage | Currency: BIH - Marka (BAM)",
"Bosnia and Herzegovina","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",850.111,"Type of minimum wage: Singular national minimum wage | Currency: BIH - Marka (BAM)",
"Bosnia and Herzegovina","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",346.322,"Type of minimum wage: Singular national minimum wage | Currency: BIH - Marka (BAM)",
"Belarus","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",626,"Type of minimum wage: Singular national minimum wage | Currency: BLR - Belarusian ruble (BYN)",
"Belarus","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",765.698,"Type of minimum wage: Singular national minimum wage | Currency: BLR - Belarusian ruble (BYN)",
"Belarus","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",192.841,"Type of minimum wage: Singular national minimum wage | Currency: BLR - Belarusian ruble (BYN)",
"Belize","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",1039.2,"Type of minimum wage: Singular national minimum wage | Currency: BLZ - Belize dollar (BZD) | ILO calculation: Hourly figure multiplied by 48 hours and 4.33 weeks",
"Belize","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",940.265,"Type of minimum wage: Singular national minimum wage | Currency: BLZ - Belize dollar (BZD) | ILO calculation: Hourly figure multiplied by 48 hours and 4.33 weeks",
"Belize","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",519.6,"Type of minimum wage: Singular national minimum wage | Currency: BLZ - Belize dollar (BZD) | ILO calculation: Hourly figure multiplied by 48 hours and 4.33 weeks",
"Bolivia (Plurinational State of)","ADM - Labour Relations Records","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",2500,"Type of minimum wage: Singular national minimum wage | Currency: BOL - Bolivian (BOB)",
"Bolivia (Plurinational State of)","ADM - Labour Relations Records","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",1077.87,"Type of minimum wage: Singular national minimum wage | Currency: BOL - Bolivian (BOB)",
"Bolivia (Plurinational State of)","ADM - Labour Relations Records","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",361.795,"Type of minimum wage: Singular national minimum wage | Currency: BOL - Bolivian (BOB)",
"Brazil","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",1412,"Type of minimum wage: National floor | Currency: BRA - Real (BRL)",
"Brazil","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",559.319,"Type of minimum wage: National floor | Currency: BRA - Real (BRL)",
"Brazil","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",262.018,"Type of minimum wage: National floor | Currency: BRA - Real (BRL)",
"Barbados","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",1473.33,"Type of minimum wage: Singular national minimum wage | Currency: BRB - Barbadian dollar (BBD) | ILO calculation: Weekly figure multiplied by 4.33 weeks",
"Barbados","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",592.454,"Type of minimum wage: Singular national minimum wage | Currency: BRB - Barbadian dollar (BBD) | ILO calculation: Weekly figure multiplied by 4.33 weeks",
"Barbados","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",736.665,"Type of minimum wage: Singular national minimum wage | Currency: BRB - Barbadian dollar (BBD) | ILO calculation: Weekly figure multiplied by 4.33 weeks",
"Bhutan","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",3750,"Type of minimum wage: Occupational | Currency: BTN - Ngultrum (BTN)","Data reference period: November"
"Bhutan","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",179.614,"Type of minimum wage: Occupational | Currency: BTN - Ngultrum (BTN)","Data reference period: November"
"Bhutan","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",44.819,"Type of minimum wage: Occupational | Currency: BTN - Ngultrum (BTN)","Data reference period: November"
"Botswana","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",1883.03,"Type of minimum wage: Sectoral | Currency: BWA - Pula (BWP) | ILO calculation: Hourly figure multiplied by 48 hours and 4.33 weeks",
"Botswana","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",354.438,"Type of minimum wage: Sectoral | Currency: BWA - Pula (BWP) | ILO calculation: Hourly figure multiplied by 48 hours and 4.33 weeks",
"Botswana","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",138.834,"Type of minimum wage: Sectoral | Currency: BWA - Pula (BWP) | ILO calculation: Hourly figure multiplied by 48 hours and 4.33 weeks",
"Central African Republic","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",35000,"Type of minimum wage: Rate of the SMIG when SMIG/SMAG system | Currency: CAF - Central African CFA franc (XAF)",
"Central African Republic","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",132.896,"Type of minimum wage: Rate of the SMIG when SMIG/SMAG system | Currency: CAF - Central African CFA franc (XAF)",
"Central African Republic","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",57.723,"Type of minimum wage: Rate of the SMIG when SMIG/SMAG system | Currency: CAF - Central African CFA franc (XAF)",
"Canada","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",2884,"Type of minimum wage: Regional | Central tendency measure: Median | Currency: CAN - Canadian Dollar (CAD) | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks",
"Canada","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",2324.114,"Type of minimum wage: Regional | Central tendency measure: Median | Currency: CAN - Canadian Dollar (CAD) | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks",
"Canada","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",2106.094,"Type of minimum wage: Regional | Central tendency measure: Median | Currency: CAN - Canadian Dollar (CAD) | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks",
"Switzerland","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",4212.224,"Type of minimum wage: Regional | Currency: CHE - Swiss franc (CHF) | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks","Geographical coverage: Main city or metropolitan area"
"Switzerland","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",3804.362,"Type of minimum wage: Regional | Currency: CHE - Swiss franc (CHF) | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks","Geographical coverage: Main city or metropolitan area"
"Switzerland","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",4784.222,"Type of minimum wage: Regional | Currency: CHE - Swiss franc (CHF) | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks","Geographical coverage: Main city or metropolitan area"
